Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,Num_Mrt,Num_Train,Num_Thsr,Station_Address,lat,lng
TpMrt,1,BL01,頂埔站,新北市,土城區,N,1,0,0,新北市土城區中央路4段51之6號,24.96012,121.4205
TpMrt,1,BL02,永寧站,新北市,土城區,N,1,0,0,新北市土城區中央路3段105號,24.966820000000002,121.43613
TpMrt,1,BL03,土城站,新北市,土城區,N,1,0,0,新北市土城區金城路1段105號,24.973129999999998,121.44431999999999
TpMrt,1,BL04,海山站,新北市,土城區,N,1,0,0,新北市土城區海山路39號,24.985305,121.44873
TpMrt,1,BL05,亞東醫院站,新北市,板橋區,N,1,0,0,新北市板橋區南雅南路2段17號,24.998279999999998,121.45246499999999
TpMrt,1,BL06,府中站,新北市,板橋區,N,1,0,0,新北市板橋區縣民大道1段193號,25.008465,121.459276
TpMrt_Train_Thsr,1,BL07_Y16_1020_Banqiao,板橋站,新北市,板橋區,MTH,2,1,1,新北市板橋區站前路5號,25.014184600000004,121.4637528
TpMrt,1,BL08,新埔站,新北市,板橋區,N,1,0,0,新北市板橋區民生路3段2號,25.02327,121.468055
TpMrt,1,BL09,江子翠站,新北市,板橋區,N,1,0,0,新北市板橋區文化路2段296號,25.030265,121.47256999999999
TpMrt,1,BL10,龍山寺站,台北市,萬華區,N,1,0,0,台北市萬華區西園路1段153號,25.03528,121.500325
TpMrt,1,BL13,善導寺站,台北市,中正區,N,1,0,0,台北市中正區忠孝東路1段58號,25.04468,121.523885
TpMrt,1,BL16,忠孝敦化站,台北市,大安區,N,1,0,0,台北市大安區忠孝東路4段182號,25.041504999999997,121.55045
TpMrt,1,BL17,國父紀念館站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路4段400號,25.04137,121.55781499999999
TpMrt,1,BL18,市政府站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路5段2號,25.041135,121.56568500000002
TpMrt,1,BL19,永春站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路5段455號,25.040855,121.5762
TpMrt,1,BL20,後山埤站,台北市,南港區,N,1,0,0,台北市南港區忠孝東路6段2號,25.044715,121.58227
