,Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,N_Mrt,N_Train,N_Thsr,Station_Address,lat,lng,Vol_All,Vol_Workday,Vol_Weekend,Weekend_Percent
0,TpMrt,1,BL01,頂埔站,新北市,土城區,N,1,0,0,新北市土城區中央路4段51之6號,24.96012,121.4205,16206.0978494624,17338.7278687496,13376.6166666667,0.232698350585826
1,TpMrt,1,BL02,永寧站,新北市,土城區,N,1,0,0,新北市土城區中央路3段105號,24.96682,121.43613,26551.8562724014,27670.4243051634,23808.9666666667,0.252591584659849
2,TpMrt,1,BL03,土城站,新北市,土城區,N,1,0,0,新北市土城區金城路1段105號,24.97313,121.44432,14611.5315412186,15296.4327122153,12867.9833333333,0.248913796984097
3,TpMrt,1,BL04,海山站,新北市,土城區,N,1,0,0,新北市土城區海山路39號,24.985305,121.44873,42573.6465949821,45469.5898738942,35346.9,0.23402545518748
4,TpMrt,1,BL05,亞東醫院站,新北市,板橋區,N,1,0,0,新北市板橋區南雅南路2段17號,24.99828,121.452465,45962.7014336918,50889.5123909907,33598.3333333333,0.206091026733078
5,TpMrt,1,BL06,府中站,新北市,板橋區,N,1,0,0,新北市板橋區縣民大道1段193號,25.008465,121.459276,60032.2014336918,61306.4180312441,56911.7833333333,0.267433303743658
7,TpMrt,1,BL08,新埔站,新北市,板橋區,N,1,0,0,新北市板橋區民生路3段2號,25.02327,121.468055,79878.5010752688,85524.8447832361,65742.625,0.232128593548907
8,TpMrt,1,BL09,江子翠站,新北市,板橋區,N,1,0,0,新北市板橋區文化路2段296號,25.030265,121.47257,50542.5620071685,53742.375117636,42532.9416666667,0.237315020839237
9,TpMrt,1,BL10,龍山寺站,台北市,萬華區,N,1,0,0,台北市萬華區西園路1段153號,25.03528,121.500325,62599.7516129032,63102.7388481084,61476.3333333333,0.276921776490267
10,TpMrt,1,BL13,善導寺站,台北市,中正區,N,1,0,0,台北市中正區忠孝東路1段58號,25.04468,121.523885,44154.0777777778,48742.2807892591,32595.7333333333,0.208427698738422
11,TpMrt,1,BL16,忠孝敦化站,台北市,大安區,N,1,0,0,台北市大安區忠孝東路4段182號,25.041505,121.55045,71288.9032258065,74050.5543635109,64349.3583333333,0.254762519369352
12,TpMrt,1,BL17,國父紀念館站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路4段400號,25.04137,121.557815,46163.9189964158,48013.8418972332,41499.2083333333,0.253818124691277
13,TpMrt,1,BL18,市政府站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路5段2號,25.041135,121.565685,123294.576702509,127725.183574879,112336.666666667,0.256682685104122
14,TpMrt,1,BL19,永春站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路5段455號,25.040855,121.5762,39166.0146953405,42455.4978668674,30917.6083333333,0.222533120165599
15,TpMrt,1,BL20,後山埤站,台北市,南港區,N,1,0,0,台北市南港區忠孝東路6段2號,25.044715,121.58227,33294.6666666667,34949.619675011,29180.3833333333,0.247132066026167
16,TpMrt,1,BL21,昆陽站,台北市,南港區,N,1,0,0,台北市南港區忠孝東路6段451號,25.050459,121.593228,26818.3010752688,30041.9422799423,18680.6916666667,0.196563594281068
