,Name,Address,lng,lat,Type
0,Moto Deli Cafe 武智堂,110台灣台北市信義區基隆路一段101巷27號1F,121.568193,25.044475,"['store', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
1,Woolloomooloo,105台灣台北市松山區富錦街95號,121.5524479,25.059922,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
2,85度C咖啡蛋糕飲料(鶯歌鶯桃店),239台灣新北市鶯歌區鶯桃路656號,121.3291667,24.9691667,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']"
3,cama café 新莊中華店,242台灣新北市新莊區中華路一段70號,121.4522196,25.0388622,"['food', 'point_of_interest', 'store', 'establishment']"
4,Pilot in Cafe,320台灣桃園市中壢區永平街23號1樓,121.2041583,25.0069611,"['food', 'point_of_interest', 'store', 'establishment']"
5,Godiva Café,337台灣桃園市大園區航站南路9號,121.2375912,25.0803419,"['cafe', 'food', 'point_of_interest', 'establishment']"
6,StayReal Café,106台灣台北市大安區敦化南路一段177巷14號,121.5498733,25.0429725,"['cafe', 'food', 'point_of_interest', 'establishment']"
7,NY CAFE（前Central Park Cafe 中央公園咖啡館:六人行主題咖啡館）,100台灣台北市中正區羅斯福路三段240巷3號,121.5302257,25.0180802,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
8,85度C咖啡蛋糕蘆洲復興店,247台灣新北市蘆洲區復興路21號,121.4755327,25.0869948,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']"
9,香投咖啡 Sanntou Café,114台灣台北市內湖區內湖路二段336號號,121.5891412,25.081646,"['cafe', 'food', 'point_of_interest', 'establishment']"
10,角公園咖啡 Triangle Garden Cafe,103台灣台北市大同區太原路131號2樓,121.516101,25.053066,"['cafe', 'food', 'point_of_interest', 'establishment']"
11,6號魔法屋 No.6 Magic House café,330台灣桃園市桃園區民富九街174巷6號,121.312264,25.008642,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
12,聚參咖啡館,115台灣台北市南港區忠孝東路六段430號,121.59348,25.0501334,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
13,QahWA Cafe 咖瓦咖啡(鴻海內科店),114台灣台北市內湖區基湖路32號B1F,121.5645028,25.0806383,"['cafe', 'food', 'point_of_interest', 'establishment']"
14,高樂雅咖啡（機場二航廈）,337台灣桃園市大園區航站北路9號4 樓,121.2314778,25.0773347,"['cafe', 'food', 'point_of_interest', 'establishment']"
15,85度C,330台灣桃園市桃園區力行路34號,121.3043864,25.0029784,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']"
16,楓樂 Find a rakuraku Cafe,104台灣台北市中山區南京東路三段8號,121.537315,25.051576,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
17,T2 CAFE,114台灣內湖區瑞光路513巷26號,121.5696941,25.0797171,"['cafe', 'food', 'point_of_interest', 'establishment']"
18,咖啡大亨,116台灣台北市文山區指南路二段45巷1號,121.574199,24.98818,"['cafe', 'food', 'point_of_interest', 'establishment']"
19,Holling Cafe,108台灣台北市萬華區萬大路486巷59弄15號1F,121.495677,25.0201294,"['cafe', 'food', 'point_of_interest', 'establishment']"
20,酮伴咖啡 Ketoer Cafe,100台灣台北市中正區福州街5之1號,121.5199789,25.0296985,"['cafe', 'food', 'point_of_interest', 'establishment']"
21,文華 Café,10548台灣台北市松山區敦化北路158號,121.548367,25.055597,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
22,G.Y CAFE -Gayo cafe,201台灣基隆市信義區義三路4巷25號,121.747597,25.129629,"['cafe', 'food', 'point_of_interest', 'establishment']"
23,petit doux 微兜 Café Bistro 永康店,106台灣台北市大安區信義路二段198巷7之3號,121.5306602,25.0326578,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']"
24,Homey's cafe(無法訂位）,106台灣台北市大安區敦化南路一段236巷36號騷豆花樓上2樓,121.5465669,25.0405189,"['cafe', 'food', 'point_of_interest', 'establishment']"
25,19 Enjoy Cafe,320台灣桃園市中壢區中北路二段416號,121.2328091,24.95423,"['cafe', 'food', 'point_of_interest', 'establishment']"
26,Maya Café、馬雅寒舍,11457台灣台北市內湖區成功路四段223巷23弄3號,121.596476,25.083426,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
27,Louisa Coffee 路易莎咖啡 (景美soho門市),116台灣台北市文山區羅斯福路六段146號,121.5408677,24.9955937,"['cafe', 'food', 'point_of_interest', 'establishment']"
28,Mass Cafe,220台灣新北市板橋區南雅南路二段11-28號,121.4539929,25.0016864,"['cafe', 'food', 'point_of_interest', 'establishment']"
29,Foliage cafe -板橋咖啡/板橋甜點/東南亞料理,220台灣新北市板橋區中山路一段158巷23號,121.4664967,25.0112838,"['cafe', 'food', 'point_of_interest', 'establishment']"
30,85度C咖啡蛋糕-新莊建安店,242台灣新北市新莊區建安街103號,121.4266711,25.0241288,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
31,爐鍋咖啡 Luguo Cafe關渡美術館店,"112台灣台北市北投區學園路1號貳樓, 關渡美術館",121.471498,25.1336364,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
32,龐得咖啡館,241台灣新北市三重區仁愛街515號,121.4867189,25.0820482,"['cafe', 'food', 'point_of_interest', 'establishment']"
33,哈唯喀咖啡館,235台灣新北市中和區民樂路58號,121.483422,25.0010793,"['cafe', 'food', 'point_of_interest', 'establishment']"
34,星諾文創咖啡Senor Cafe',320台灣桃園市中壢區中平路17號2樓,121.2255464,24.9544982,"['library', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
35,Läbu Café-台北美食/台北早午餐/永康街美食/大安區美食/東門美食/東門早午餐/中正美食/中正早午餐,100台灣台北市中正區信義路二段161巷2弄7號,121.528312,25.034462,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
36,CAFE!N 硬咖啡 三民店,10571台灣台北市松山區南京東路五段178號1樓,121.5634,25.0512,"['cafe', 'food', 'point_of_interest', 'establishment']"
37,亻米霓咖啡館,220台灣新北市板橋區雙十路三段18巷1弄2號1樓,121.471868,25.0307959,"['cafe', 'food', 'point_of_interest', 'establishment']"
38,Charming Chat Café(CCCafé),112台灣台北市北投區石牌路一段39巷136號,121.50993,25.1175282,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
39,太古宙咖啡 ArchEon Café,10584台灣台北市松山區南京東路五段291巷6弄18號,121.5654546,25.0519317,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
40,喵日子café,330台灣桃園市桃園區保定三街93號,121.2978507,24.9983361,"['cafe', 'food', 'point_of_interest', 'establishment']"
41,燊咖啡,330台灣桃園市桃園區新埔六街138號,121.3016895,25.0164747,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
42,Felice Cafe 享樂咖啡,114台灣台北市內湖區瑞光路251號,121.5778573,25.0747811,"['cafe', 'food', 'point_of_interest', 'establishment']"
43,À Demain Cafe,115台灣台北市南港區重陽路55號,121.5962519,25.0555868,"['cafe', 'food', 'point_of_interest', 'establishment']"
44,小圓桌Café,11274台灣台北市北投區西安街二段275巷16號,121.5065843,25.1198955,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
45,About Cafe,224台灣新北市瑞芳區建基路二段83號之1號,121.8057722,25.1338917,"['cafe', 'food', 'point_of_interest', 'establishment']"
