Station_Name,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dependency,Old_Dependency,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth
頂埔站,30,3059.16,843.21,12895.0,13.01,75.4,11.55,30.34,39.46,17.26,15.32,27.93,50.45,7.95,0.5,49.76,42.46,3.79,0.74
永寧站,49,5171.97,855.15,21287.0,12.7,75.72,11.56,30.71,39.6,16.78,15.26,29.49,49.6,7.58,0.47,49.23,42.74,3.84,0.77
土城站,63,7041.97,872.39,28175.0,12.77,75.67,11.55,30.69,39.66,16.88,15.26,29.8,49.34,7.49,0.45,49.03,42.87,3.97,0.76
海山站,105,10821.72,882.97,42791.0,12.47,74.44,13.08,29.96,39.32,16.75,17.57,30.29,48.71,7.93,0.46,48.97,43.18,3.96,0.76
亞東醫院站,141,13926.27,894.83,54729.0,12.77,73.31,13.92,29.31,38.94,17.41,18.99,30.77,47.87,7.97,0.48,48.84,43.31,3.88,0.75
府中站,171,17141.74,921.7,64776.0,12.7,72.79,14.51,28.76,39.08,17.44,19.93,31.27,47.16,8.21,0.52,48.7,43.59,3.88,0.74
板橋站,165,15787.43,923.78,59895.0,12.6,72.25,15.15,28.29,39.05,17.44,20.97,31.23,47.03,8.46,0.53,48.78,43.49,3.83,0.72
新埔站,166,15749.2,927.46,59319.0,12.46,71.75,15.79,28.09,38.83,17.37,22.01,31.4,46.7,8.72,0.56,48.8,43.48,3.68,0.73
江子翠站,159,15293.14,934.27,57048.0,12.64,71.44,15.92,27.92,38.72,17.69,22.28,31.24,46.46,8.91,0.59,48.81,43.29,3.75,0.74
龍山寺站,144,18113.46,1109.62,52715.0,12.87,69.29,17.85,25.96,38.85,18.58,25.76,37.31,41.71,7.44,0.52,48.43,43.68,5.17,0.76
善導寺站,148,29888.94,1334.86,66134.0,13.9,66.6,19.5,24.39,37.97,20.88,29.28,44.67,35.83,5.19,0.3,47.19,45.04,5.92,0.78
忠孝敦化站,145,34337.39,1400.04,71001.0,13.75,66.13,20.13,24.1,37.68,20.79,30.44,48.35,33.24,4.33,0.24,46.86,46.47,5.16,0.76
國父紀念館站,131,30524.67,1379.65,64122.0,13.46,66.46,20.08,24.45,37.68,20.26,30.21,48.0,33.62,4.54,0.25,46.93,46.67,5.02,0.77
市政府站,124,27457.45,1341.81,59474.0,13.14,66.95,19.91,24.84,37.76,19.63,29.74,47.11,34.48,4.87,0.28,46.98,46.62,4.88,0.78
永春站,97,20773.08,1301.98,46942.0,13.08,67.37,19.56,25.22,37.82,19.41,29.03,46.08,35.22,5.19,0.3,47.16,46.54,4.72,0.8
後山埤站,81,17052.25,1267.64,39787.0,12.66,68.49,18.84,26.06,38.09,18.49,27.51,44.92,36.34,5.61,0.33,47.56,46.48,4.57,0.82
昆陽站,65,13499.43,1224.99,33388.0,13.33,70.19,16.48,27.32,38.35,18.99,23.48,42.09,37.75,6.31,0.39,48.0,46.11,4.52,0.85
南港站,50,10162.25,1189.68,26117.0,13.63,72.03,14.35,28.22,39.08,18.93,19.92,39.29,39.76,6.78,0.44,48.42,45.74,4.78,0.88
動物園站,31,6354.88,1202.66,16319.0,12.45,71.46,16.05,26.97,39.53,17.42,22.47,43.43,37.59,5.96,0.42,48.12,45.62,3.87,0.8
木柵站,41,8440.16,1202.82,21577.0,12.71,70.99,16.28,26.73,39.36,17.9,22.93,43.59,37.31,5.83,0.4,47.93,45.7,4.06,0.79
萬芳社區站,51,10751.39,1200.6,27293.0,12.74,70.55,16.69,26.61,39.19,18.06,23.66,44.07,36.97,5.68,0.38,47.8,46.03,4.24,0.78
萬芳醫院站,72,14220.75,1200.87,35936.0,12.47,70.08,17.43,26.18,39.3,17.8,24.86,44.37,37.07,5.56,0.36,47.73,45.99,4.48,0.74
辛亥站,83,16696.07,1223.96,40707.0,12.55,69.25,18.17,25.98,38.77,18.12,26.24,45.59,36.01,5.36,0.34,47.41,46.26,4.67,0.76
麟光站,90,20598.17,1383.54,43690.0,13.61,66.8,19.59,24.47,37.9,20.37,29.32,48.58,33.05,4.37,0.26,46.99,46.53,4.93,0.76
六張犁站,116,26704.66,1417.52,54932.0,14.15,66.11,19.74,24.0,37.65,21.4,29.86,49.12,32.26,4.13,0.25,46.86,46.61,5.28,0.75
科技大樓站,128,28482.53,1431.14,57898.0,14.33,65.78,19.89,23.71,37.66,21.79,30.24,49.24,32.05,4.05,0.24,46.95,46.59,5.61,0.75
忠孝復興站,142,33779.1,1415.25,68708.0,14.04,65.85,20.11,23.81,37.72,21.33,30.54,48.74,32.8,4.11,0.22,46.7,46.31,5.51,0.75
南京復興站,127,29211.11,1391.34,60180.0,13.69,66.13,20.19,23.98,37.86,20.71,30.53,47.71,33.97,4.32,0.23,46.61,45.9,5.45,0.77
中山國中站,100,22882.36,1366.93,47903.0,13.51,66.66,19.86,24.33,38.06,20.27,29.79,46.29,35.22,4.66,0.24,46.63,45.66,5.35,0.78
松山機場站,94,21532.52,1341.76,45868.0,13.26,67.25,19.51,24.8,38.19,19.71,29.02,46.56,35.16,4.7,0.23,46.61,45.95,5.19,0.78
大直站,57,12753.86,1293.76,28828.0,13.26,68.04,18.68,25.54,38.22,19.48,27.46,44.22,36.6,5.51,0.31,47.15,45.72,4.66,0.8
劍南路站,31,8067.21,1362.47,17030.0,13.55,68.56,17.87,26.18,37.91,19.76,26.06,45.99,35.07,4.99,0.29,47.23,47.02,4.37,0.79
西湖站,36,9221.2,1323.36,20312.0,13.72,69.58,16.68,26.73,38.33,19.71,23.98,45.5,35.46,4.95,0.29,47.35,46.8,4.14,0.83
港墘站,41,11127.93,1352.78,23809.0,13.51,70.6,15.88,27.34,38.72,19.13,22.5,45.48,35.59,5.05,0.29,47.44,46.89,4.33,0.86
文德站,42,11155.81,1336.67,24541.0,14.01,71.53,14.47,27.77,39.0,19.59,20.22,43.99,36.26,5.34,0.33,47.69,46.62,4.28,0.87
內湖站,36,9583.9,1300.75,21902.0,14.67,72.12,13.21,28.44,38.75,20.35,18.32,43.35,36.57,5.07,0.31,47.63,46.27,4.01,0.88
大湖公園站,37,9875.05,1319.31,22191.0,14.53,72.28,13.2,28.32,39.07,20.11,18.26,43.48,36.62,5.02,0.31,47.63,46.39,4.26,0.89
葫洲站,49,11160.19,1245.42,26708.0,13.61,72.72,13.69,28.45,39.48,18.71,18.83,41.58,38.6,5.81,0.35,48.02,46.0,4.49,0.88
東湖站,51,10924.61,1221.45,26673.0,13.05,73.49,13.48,28.48,40.22,17.76,18.35,40.57,40.06,5.9,0.36,48.1,45.74,4.79,0.84
南港軟體園區站,51,10073.43,1188.61,25777.0,13.08,73.42,13.51,28.21,40.38,17.82,18.4,39.05,41.07,6.34,0.4,48.28,45.4,5.02,0.82
南港展覽館站,45,8724.77,1174.58,22741.0,13.38,73.27,13.36,28.18,40.18,18.26,18.24,38.48,41.14,6.51,0.41,48.32,45.27,5.05,0.82
新店站,48,6242.16,1078.28,18264.0,9.66,71.63,18.7,26.18,41.08,13.48,26.1,39.92,44.19,5.74,0.36,47.7,45.32,4.71,0.59
新店區公所站,63,9108.29,1113.07,25656.0,10.87,70.99,18.13,26.08,40.33,15.31,25.54,41.06,41.8,5.74,0.36,47.68,45.54,4.65,0.65
七張站,84,12880.04,1106.34,36322.0,11.35,70.93,17.71,26.26,40.04,16.0,24.97,41.43,40.93,5.77,0.38,47.72,45.46,4.62,0.66
小碧潭站,88,11513.43,1056.76,34836.0,10.73,71.38,17.9,26.24,40.6,15.03,25.07,38.98,43.73,6.04,0.38,47.75,44.98,4.73,0.63
