,Station_Type,Station_ID,Station_Name,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging
0,TpMrt,BL01,頂埔站,0,0,0,3,0
1,TpMrt,BL02,永寧站,4,0,0,0,0
2,TpMrt,BL03,土城站,1,1,1,4,1
3,TpMrt,BL04,海山站,2,1,4,6,0
4,TpMrt,BL05,亞東醫院站,5,1,4,1,0
5,TpMrt,BL06,府中站,15,4,12,13,2
6,TpMrt_Train_Thsr,BL07_Y16_1020_Banqiao,板橋站,18,4,8,18,4
7,TpMrt,BL08,新埔站,27,3,7,16,2
8,TpMrt,BL09,江子翠站,16,3,6,9,0
9,TpMrt,BL10,龍山寺站,16,3,11,7,13
10,TpMrt,BL13,善導寺站,20,11,30,10,31
11,TpMrt,BL16,忠孝敦化站,57,33,56,34,19
12,TpMrt,BL17,國父紀念館站,39,16,39,17,9
13,TpMrt,BL18,市政府站,29,3,15,9,3
14,TpMrt,BL19,永春站,12,4,3,10,0
15,TpMrt,BL20,後山埤站,11,4,2,12,1
16,TpMrt,BL21,昆陽站,5,2,1,3,0
17,TpMrt_Train_Thsr,BL22_0980_Nangang,南港站,4,1,2,5,0
18,TpMrt,BR01,動物園站,0,1,0,0,0
19,TpMrt,BR02,木柵站,0,1,1,1,0
20,TpMrt,BR03,萬芳社區站,0,1,1,1,0
21,TpMrt,BR04,萬芳醫院站,6,0,0,1,0
22,TpMrt,BR05,辛亥站,5,0,0,1,0
23,TpMrt,BR06,麟光站,7,0,1,2,1
24,TpMrt,BR07,六張犁站,17,6,19,5,1
25,TpMrt,BR08,科技大樓站,32,7,11,10,2
26,TpMrt,BR10_BL15,忠孝復興站,40,15,39,26,17
27,TpMrt,BR11_G16,南京復興站,20,8,13,18,11
28,TpMrt,BR12,中山國中站,14,5,11,12,4
29,TpMrt,BR13,松山機場站,11,0,1,4,0
30,TpMrt,BR14,大直站,12,3,4,3,0
31,TpMrt,BR15,劍南路站,11,2,3,4,0
32,TpMrt,BR16,西湖站,8,3,4,7,0
33,TpMrt,BR17,港墘站,12,1,4,11,0
34,TpMrt,BR18,文德站,8,0,0,5,0
35,TpMrt,BR19,內湖站,8,0,2,3,0
36,TpMrt,BR20,大湖公園站,3,0,1,1,0
37,TpMrt,BR21,葫洲站,5,3,4,4,0
38,TpMrt,BR22,東湖站,5,0,0,6,0
39,TpMrt,BR23,南港軟體園區站,5,4,1,2,0
40,TpMrt,BR24_BL23,南港展覽館站,4,1,0,4,0
41,TpMrt,G01,新店站,4,1,2,2,0
42,TpMrt,G02,新店區公所站,7,0,2,7,0
43,TpMrt,G03,七張站,9,2,3,11,0
44,TpMrt,G03A,小碧潭站,4,0,0,1,0
45,TpMrt,G04_Y07,大坪林站,9,3,5,7,0
46,TpMrt,G05,景美站,2,0,0,7,0
47,TpMrt,G06,萬隆站,7,0,1,4,0
48,TpMrt,G07,公館站,31,7,10,8,0
49,TpMrt,G08,台電大樓站,48,4,8,15,0
50,TpMrt,G09_O05,古亭站,37,2,7,17,0
51,TpMrt,G11,小南門站,12,4,9,6,6
52,TpMrt,G12_BL11,西門站,51,20,34,11,60
53,TpMrt,G13,北門站,38,16,27,10,60
54,TpMrt,G15_O08,松江南京站,29,12,31,20,20
55,TpMrt,G17,台北小巨蛋站,28,11,11,15,3
56,TpMrt,G18,南京三民站,19,5,11,15,2
57,TpMrt_Train,G19_0990,松山站,6,1,0,10,1
58,TpMrt,LB01_BL01,頂埔站(規劃中),0,0,0,3,0
59,TpMrt,LB02,媽祖田站(規劃中),0,0,0,2,0
60,TpMrt,LB03,長壽山站(規劃中),0,0,0,0,0
61,TpMrt,LB04,橫溪站(規劃中),0,0,0,0,0
62,TpMrt,LB05,龍埔站(規劃中),4,0,0,2,0
63,TpMrt,LB06,三峽站(規劃中),11,7,3,6,0
64,TpMrt,LB07,台北大學站(規劃中),8,0,1,5,0
65,TpMrt,LB08,鶯歌車站(規劃中),4,3,1,1,0
66,TpMrt,LB09,陶瓷老街站(規劃中),6,5,1,1,1
67,TpMrt,LB10,國華站(規劃中),1,2,0,0,1
68,TpMrt,LB11,永吉公園站(規劃中),0,0,0,0,0
69,TpMrt,LB12,鶯桃福德站(規劃中),1,1,1,0,0
70,TpMrt,LB13,豎啣埤站(規劃中),0,0,0,0,0
71,TpMrt_TyMrt,LB14_G04,大湳站(規劃中),3,3,0,4,0
72,TpMrt,LG01_R08_G10,中正紀念堂站(規劃中),25,1,3,12,0
73,TpMrt,LG02,植物園站(規劃中),6,2,0,5,2
74,TpMrt,LG03,廈安站(規劃中),9,2,1,5,4
75,TpMrt,LG04,加蚋站(規劃中),7,2,1,4,0
