,Station_Type,Station_ID,Station_Name,Num_Rent,Num_Rent_1,Mean_Rent,Mean_Rent_1,Median_Rent,Median_Rent_1
0,TpMrt,BL01,頂埔站,38,83,1728,1338,1208,962
1,TpMrt,BL02,永寧站,26,56,980,993,906,881
2,TpMrt,BL03,土城站,73,148,1847,1436,1500,1151
3,TpMrt,BL04,海山站,201,344,1793,1561,1259,1166
4,TpMrt,BL05,亞東醫院站,87,374,1205,1506,1000,1111
5,TpMrt,BL06,府中站,214,773,2010,1923,1497,1411
6,TpMrt_Train_Thsr,BL07_Y16_1020_Banqiao,板橋站,253,649,2240,1867,1562,1416
7,TpMrt,BL08,新埔站,142,784,2035,1907,1524,1333
8,TpMrt,BL09,江子翠站,184,567,1823,1746,1445,1280
9,TpMrt,BL10,龍山寺站,168,635,2016,2571,1400,1607
10,TpMrt,BL13,善導寺站,51,501,2972,5470,2400,2625
11,TpMrt,BL16,忠孝敦化站,705,1842,6370,4742,4583,3500
12,TpMrt,BL17,國父紀念館站,755,1515,5380,4779,3542,3418
13,TpMrt,BL18,市政府站,86,877,2891,2856,2397,2200
14,TpMrt,BL19,永春站,275,730,2752,2438,1923,1765
15,TpMrt,BL20,後山埤站,120,792,1914,2491,1575,1759
16,TpMrt,BL21,昆陽站,69,155,1645,1580,1461,1433
17,TpMrt_Train_Thsr,BL22_0980_Nangang,南港站,60,165,1553,1728,1329,1442
18,TpMrt,BR01,動物園站,0,37,0,1180,0,1100
19,TpMrt,BR02,木柵站,23,40,1270,1194,1138,1104
20,TpMrt,BR03,萬芳社區站,8,79,1310,2042,1345,1315
21,TpMrt,BR04,萬芳醫院站,58,135,2543,2083,1859,1520
22,TpMrt,BR05,辛亥站,14,97,1354,1721,1413,1413
23,TpMrt,BR06,麟光站,98,234,1842,1872,1507,1666
24,TpMrt,BR07,六張犁站,110,635,1981,2766,2000,2142
25,TpMrt,BR08,科技大樓站,164,456,2963,2959,2445,2388
26,TpMrt,BR10_BL15,忠孝復興站,497,1293,5141,5163,4000,3750
27,TpMrt,BR11_G16,南京復興站,178,967,2803,2775,2323,2236
28,TpMrt,BR12,中山國中站,216,636,2886,2548,2308,2167
29,TpMrt,BR13,松山機場站,2,270,2967,2536,2967,2222
30,TpMrt,BR14,大直站,141,174,2399,2378,1950,2018
31,TpMrt,BR15,劍南路站,37,116,1966,2343,1936,2111
32,TpMrt,BR16,西湖站,180,240,2409,2281,1893,1828
33,TpMrt,BR17,港墘站,121,365,2586,2273,2072,1785
34,TpMrt,BR18,文德站,140,290,1829,2109,1600,1596
35,TpMrt,BR19,內湖站,139,279,2811,2313,2016,1750
36,TpMrt,BR20,大湖公園站,11,146,1368,2561,1368,1802
