車站種類,車站狀態,車站編號,車站名稱,所在縣市,行政區,轉乘狀態,轉乘捷運,轉乘台鐵,轉乘高鐵,車站位置,lat,lng
tp_mrt,1,BL01,台北捷運頂埔站,新北市,土城區,N,1,0,0,新北市土城區中央路4段51之6號,24.96012,121.4205
tp_mrt,1,BL02,台北捷運永寧站,新北市,土城區,N,1,0,0,新北市土城區中央路3段105號,24.96682,121.43613
tp_mrt,1,BL03,台北捷運土城站,新北市,土城區,N,1,0,0,新北市土城區金城路1段105號,24.97313,121.44432
tp_mrt,1,BL04,台北捷運海山站,新北市,土城區,N,0,0,0,新北市土城區海山路39號,24.985305,121.44873
tp_mrt,1,BL05,台北捷運亞東醫院站,新北市,板橋區,N,0,0,0,新北市板橋區南雅南路2段17號,24.99828,121.452465
tp_mrt,1,BL06,台北捷運府中站,新北市,板橋區,N,0,0,0,新北市板橋區縣民大道1段193號,25.008465,121.459276
tp_mrt,1,BL07,台北捷運板橋站,新北市,板橋區,TH,1,1,1,新北市板橋區站前路5號,25.013825,121.462305
tp_mrt,1,BL08,台北捷運新埔站,新北市,板橋區,N,1,0,0,新北市板橋區民生路3段2號,25.02327,121.468055
tp_mrt,1,BL09,台北捷運江子翠站,新北市,板橋區,N,0,0,0,新北市板橋區文化路2段296號,25.030265,121.47257
tp_mrt,1,BL10,台北捷運龍山寺站,台北市,萬華區,N,0,1,0,台北市萬華區西園路1段153號,25.03528,121.500325
tp_mrt,1,BL11,台北捷運西門站,台北市,中正區,M,1,0,0,台北市中正區寶慶路32之1號,25.042025,121.508175
tp_mrt,1,BL12,台北捷運台北車站,台北市,中正區,MTH,3,1,1,台北市中正區忠孝西路1段49號,25.04631,121.517415
tp_mrt,1,BL13,台北捷運善導寺站,台北市,中正區,N,0,0,0,台北市中正區忠孝東路1段58號,25.04468,121.523885
tp_mrt,1,BL14,台北捷運忠孝新生站,台北市,大安區,M,1,0,0,台北市大安區新生南路1段67號,25.042498,121.53321
tp_mrt,1,BL15,台北捷運忠孝復興站,台北市,大安區,M,1,0,0,台北市大安區忠孝東路4段47號,25.041749,121.545026
tp_mrt,1,BL16,台北捷運忠孝敦化站,台北市,大安區,N,0,0,0,台北市大安區忠孝東路4段182號,25.041505,121.55045
tp_mrt,1,BL17,台北捷運國父紀念館站,台北市,信義區,N,0,0,0,台北市信義區忠孝東路4段400號,25.04137,121.557815
tp_mrt,1,BL18,台北捷運市政府站,台北市,信義區,N,0,0,0,台北市信義區忠孝東路5段2號,25.041135,121.56568500000002
tp_mrt,1,BL19,台北捷運永春站,台北市,信義區,N,1,0,0,台北市信義區忠孝東路5段455號,25.040855,121.5762
tp_mrt,1,BL20,台北捷運後山埤站,台北市,南港區,N,0,0,0,台北市南港區忠孝東路6段2號,25.044715,121.58227
tp_mrt,1,BL21,台北捷運昆陽站,台北市,南港區,N,0,0,0,台北市南港區忠孝東路6段451號,25.050459,121.593228
tp_mrt,1,BL22,台北捷運南港站,台北市,南港區,TH,0,1,1,台北市南港區忠孝東路7段380號,25.052035,121.60697
tp_mrt,1,BL23,台北捷運南港展覽館站,台北市,南港區,M,1,0,0,板南線：115021台北市南港區研究院路1段1號,25.054919,121.616861
tp_mrt,1,BR01,台北捷運動物園站,台北市,文山區,N,1,0,0,台北市文山區新光路2段32號,24.998205,121.579501
tp_mrt,1,BR02,台北捷運木柵站,台北市,文山區,N,0,0,0,台北市文山區木柵路4段135號,24.99824,121.573127
tp_mrt,1,BR03,台北捷運萬芳社區站,台北市,文山區,N,0,0,0,台北市文山區萬芳路60號,24.99857,121.568088
tp_mrt,1,BR04,台北捷運萬芳醫院站,台北市,文山區,N,0,0,0,台北市文山區興隆路3段113號,24.99932,121.558092
tp_mrt,1,BR05,台北捷運辛亥站,台北市,文山區,N,0,0,0,台北市文山區辛亥路4段128號,25.005455,121.557046
tp_mrt,1,BR06,台北捷運麟光站,台北市,大安區,N,0,0,0,台北市大安區和平東路3段410號,25.018495,121.558834
tp_mrt,1,BR07,台北捷運六張犁站,台北市,大安區,N,0,0,0,台北市大安區和平東路3段168號,25.02381,121.55302
tp_mrt,1,BR08,台北捷運科技大樓站,台北市,大安區,N,0,0,0,台北市大安區復興南路2段235號,25.02612,121.543462
tp_mrt,1,BR09,台北捷運大安站,台北市,大安區,M,1,0,0,台北市大安區信義路4段2號,25.033311,121.54237
tp_mrt,1,BR10,台北捷運忠孝復興站,台北市,大安區,M,1,0,0,台北市大安區忠孝東路3段302號,25.041749,121.545026
tp_mrt,1,BR11,台北捷運南京復興站,台北市,松山區,M,1,0,0,台北市松山區南京東路3段253號,25.052044,121.544303
tp_mrt,1,BR12,台北捷運中山國中站,台北市,中山區,N,1,0,0,台北市中山區復興北路376號,25.06085,121.544215
tp_mrt,1,BR13,台北捷運松山機場站,台北市,松山區,N,0,0,0,台北市松山區敦化北路338號,25.062908,121.55201
tp_mrt,1,BR14,台北捷運大直站,台北市,中山區,N,0,0,0,台北市中山區北安路534之1號,25.07943,121.54679
tp_mrt,1,BR15,台北捷運劍南路站,台北市,中山區,N,1,0,0,台北市中山區北安路798號,25.08483,121.555582
tp_mrt,1,BR16,台北捷運西湖站,台北市,內湖區,N,0,0,0,台北市內湖區內湖路1段256號,25.08216,121.567227
tp_mrt,1,BR17,台北捷運港墘站,台北市,內湖區,N,0,0,0,台北市內湖區內湖路1段663號,25.08007000000001,121.57516
tp_mrt,1,BR18,台北捷運文德站,台北市,內湖區,N,0,0,0,台北市內湖區文德路214號,25.078455,121.584999
tp_mrt,1,BR19,台北捷運內湖站,台北市,內湖區,N,0,0,0,台北市內湖區成功路4段186號,25.083675,121.594363
tp_mrt,1,BR20,台北捷運大湖公園站,台北市,內湖區,N,0,0,0,台北市內湖區成功路5段11號,25.083805,121.602214
