,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
0,TpMrt,1,BL01,頂埔站,N,1.0,13,6,6,5,1,0,6,1,5,30,3059.16,843.21,12895.0,13.01,75.4,11.55,30.34,39.46,17.26,15.32,27.93,50.45,7.95,0.5,49.76,42.46,3.79,0.74,16.206,17.339000000000002,23.27,1208.0,0.0,0.0,0.0,3.0,0.0,6.0,2,0,0,0,0,0,0,0.0
1,TpMrt,1,BL02,永寧站,N,1.0,11,5,1,9,3,0,12,0,0,49,5171.97,855.15,21287.0,12.7,75.72,11.56,30.71,39.6,16.78,15.26,29.49,49.6,7.58,0.47,49.23,42.74,3.84,0.77,26.552,27.67,25.26,906.0,4.0,0.0,0.0,0.0,0.0,7.0,1,2,0,0,0,0,0,-2.0
2,TpMrt,1,BL03,土城站,N,1.0,22,10,28,7,2,0,9,0,3,63,7041.97,872.39,28175.0,12.77,75.67,11.55,30.69,39.66,16.88,15.26,29.8,49.34,7.49,0.45,49.03,42.87,3.97,0.76,14.612,15.296,24.89,1500.0,1.0,1.0,1.0,4.0,1.0,6.0,2,0,0,0,1,0,1,1.0
3,TpMrt,1,BL04,海山站,N,1.0,40,22,41,26,5,0,31,2,4,105,10821.72,882.97,42791.0,12.47,74.44,13.08,29.96,39.32,16.75,17.57,30.29,48.71,7.93,0.46,48.97,43.18,3.96,0.76,42.574,45.47,23.4,1259.0,2.0,1.0,4.0,6.0,0.0,7.0,2,1,0,0,1,0,3,2.0
4,TpMrt,1,BL05,亞東醫院站,N,1.0,19,8,9,18,2,2,22,1,7,141,13926.27,894.83,54729.0,12.77,73.31,13.92,29.31,38.94,17.41,18.99,30.77,47.87,7.97,0.48,48.84,43.31,3.88,0.75,45.963,50.89,20.61,1000.0,5.0,1.0,4.0,1.0,0.0,8.0,1,2,0,0,0,0,2,0.0
5,TpMrt,1,BL06,府中站,N,1.0,50,23,80,36,3,0,39,3,7,171,17141.74,921.7,64776.0,12.7,72.79,14.51,28.76,39.08,17.44,19.93,31.27,47.16,8.21,0.52,48.7,43.59,3.88,0.74,60.032,61.306,26.74,1497.0,15.0,4.0,12.0,13.0,2.0,8.0,2,4,1,2,3,0,4,0.0
6,TpMrt_Train_Thsr,1,BL07_Y16_1020_Banqiao,板橋站,MTH,3.9999999999999996,42,21,35,36,4,1,41,2,10,165,15787.43,923.78,59895.0,12.6,72.25,15.15,28.29,39.05,17.44,20.97,31.23,47.03,8.46,0.53,48.78,43.49,3.83,0.72,124.9,124.551,28.29,1562.0,18.0,4.0,8.0,18.0,4.0,9.0,3,4,1,1,5,0,4,0.0
7,TpMrt,1,BL08,新埔站,N,1.0,48,31,86,55,3,1,59,0,5,166,15749.2,927.46,59319.0,12.46,71.75,15.79,28.09,38.83,17.37,22.01,31.4,46.7,8.72,0.56,48.8,43.48,3.68,0.73,79.87899999999998,85.525,23.21,1524.0,27.0,3.0,7.0,16.0,2.0,8.0,3,4,0,1,4,0,4,0.0
8,TpMrt,1,BL09,江子翠站,N,1.0,43,19,56,42,1,0,43,2,10,159,15293.14,934.27,57048.0,12.64,71.44,15.92,27.92,38.72,17.69,22.28,31.24,46.46,8.91,0.59,48.81,43.29,3.75,0.74,50.543,53.742,23.73,1445.0,16.0,3.0,6.0,9.0,0.0,8.0,2,4,0,1,2,0,4,0.0
9,TpMrt,1,BL10,龍山寺站,N,1.0,40,18,32,32,4,0,36,12,13,144,18113.46,1109.62,52715.0,12.87,69.29,17.85,25.96,38.85,18.58,25.76,37.31,41.71,7.44,0.52,48.43,43.68,5.17,0.76,62.6,63.103,27.69,1400.0,16.0,3.0,11.0,7.0,13.0,8.0,2,4,0,1,2,2,4,0.0
